id,total_reviews,average_rating,average_quality_rating,average_value_rating,aggregate_one_star_review,aggregate_two_star_review,aggregate_three_star_review,aggregate_four_star_review,aggregate_five_star_review,most_helpful_favorable,most_helpful_critical
9928,185,3,2,4,1,4,4,1,2,30,37
9927,164,2,5,1,1,2,1,4,1,19,26
9926,16,5,5,2,1,4,4,4,5,15,32
9925,96,5,5,5,4,1,5,1,5,27,2
9924,189,5,5,5,5,1,4,4,4,31,28
9923,17,3,1,3,5,4,4,4,1,49,6
9922,107,2,2,1,4,4,4,3,1,3,6
9921,68,5,2,1,4,5,1,3,4,45,13
9920,176,2,2,5,3,1,5,4,5,32,9
9919,120,5,3,5,2,1,5,5,4,19,49
9918,121,5,2,5,1,1,2,1,4,2,41
9917,36,2,4,2,2,3,1,5,2,44,12
9916,70,1,2,3,4,1,1,1,4,6,39
9915,136,4,5,1,3,2,1,1,3,39,6
9914,119,3,3,4,4,1,1,4,3,26,22
9913,6,3,4,4,1,3,1,1,5,33,50
9912,86,4,2,3,4,4,1,5,1,9,10
9911,61,3,4,3,2,1,3,2,2,28,26
9910,166,2,1,1,3,3,3,3,5,38,50
9909,37,5,2,2,5,4,2,1,2,29,15
9908,100,2,5,4,2,2,5,5,1,36,3
9907,59,3,1,1,5,2,2,3,5,39,19
9906,63,5,3,5,4,3,3,2,4,7,30
9905,157,1,5,4,4,2,5,4,4,1,40
9904,3,3,3,4,2,5,3,2,4,22,15
9903,152,1,4,2,5,4,5,2,4,18,17
9902,79,1,3,4,3,3,2,5,2,16,14
9901,50,5,4,4,3,3,4,2,2,8,34
9900,146,4,4,4,4,4,3,5,3,21,12
9899,23,5,5,5,5,5,3,2,4,7,39
9898,195,5,5,2,5,3,1,2,1,41,7
9897,107,2,5,3,3,4,2,4,2,25,11
9896,18,2,2,2,4,2,3,2,5,11,29
9895,89,1,5,5,2,4,5,1,3,14,7
9894,33,4,2,4,3,4,5,1,1,3,4
9893,71,4,3,4,4,3,5,4,1,28,6
9892,81,5,5,2,2,1,1,2,3,4,18
9891,33,5,3,3,4,2,1,5,5,50,11
9890,38,3,1,2,1,1,3,5,4,14,30
9889,38,3,5,1,5,5,1,3,3,38,39
9888,84,3,3,1,2,1,5,1,3,28,5
9887,136,5,4,3,5,2,1,5,5,47,16
9886,108,1,2,3,1,5,2,4,4,5,26
9885,70,5,2,1,2,3,2,2,1,10,13
9884,78,2,3,3,2,3,3,3,5,29,48
9883,105,4,3,2,2,3,5,2,3,47,49
9882,77,1,5,4,1,4,2,5,4,49,27
9881,199,1,3,1,5,4,2,1,3,21,13
9880,151,5,3,5,3,2,3,1,5,16,33
9879,86,2,5,5,5,2,4,3,4,25,39
9878,146,5,1,4,4,3,4,2,3,6,50
9877,133,4,1,4,3,1,5,3,5,21,4
9876,20,4,2,5,2,3,4,5,5,31,2
9875,24,1,2,1,1,2,5,4,5,29,6
9874,115,2,5,1,3,4,3,2,1,31,34
9873,15,4,2,1,1,2,2,3,1,6,13
9872,150,4,5,3,3,2,5,3,4,36,47
9871,104,1,1,4,5,5,1,3,5,40,42
9870,136,4,3,5,3,3,3,2,2,27,33
9869,162,1,1,5,2,1,1,2,3,4,9
9868,81,4,4,5,5,1,2,1,5,42,29
9867,176,1,3,3,4,4,5,2,4,14,45
9866,156,4,2,1,1,1,5,1,2,24,48
9865,156,5,5,3,1,3,5,1,5,32,25
9864,75,3,4,1,1,5,5,5,3,8,12
9863,71,4,5,2,2,3,3,5,5,24,38
9862,11,1,4,3,2,4,5,3,2,10,11
9861,78,5,1,5,5,2,3,5,5,22,25
9860,169,5,1,5,3,2,3,5,4,31,49
9859,195,3,1,5,2,1,4,4,2,3,17
9858,91,1,1,5,5,2,4,4,2,6,42
9857,41,3,5,1,5,1,1,3,2,8,2
9856,109,2,4,4,1,3,5,2,2,18,34
9855,70,4,2,3,1,1,5,3,5,49,17
9854,42,2,5,4,1,2,4,4,1,24,45
9853,143,3,2,4,1,3,1,4,1,41,41
9852,122,2,3,2,5,3,2,2,2,29,2
9851,125,2,5,3,2,2,3,3,1,13,15
9850,166,4,5,3,3,2,3,2,2,31,15
9849,77,3,4,3,2,2,5,2,2,28,37
9848,192,2,5,4,4,5,2,5,2,42,44
9847,147,2,3,2,2,5,5,1,5,21,43
9846,7,4,1,3,2,2,5,4,4,37,23
9845,29,3,2,1,3,2,1,4,2,5,48
9844,150,5,2,5,5,4,3,2,5,5,46
9843,137,1,4,4,5,5,4,4,1,30,33
9842,137,1,5,3,2,3,2,2,1,36,42
9841,77,5,2,2,2,4,1,2,5,26,4
9840,102,2,4,2,5,5,4,5,2,41,49
9839,128,1,4,2,3,3,3,3,1,16,50
9838,160,1,4,3,1,4,3,1,3,41,50
9837,163,2,1,1,4,1,3,5,5,20,1
9836,58,1,3,5,1,3,1,2,1,46,14
9835,119,3,4,2,3,5,3,4,5,24,11
9834,179,5,1,5,5,3,4,2,5,3,21
9833,92,2,3,4,4,1,4,3,5,6,30
9832,97,4,3,4,5,4,4,2,2,37,44
9831,175,5,4,4,2,4,2,5,5,38,47
9830,134,4,3,5,4,5,4,3,4,21,22
9829,46,5,1,5,1,4,5,4,1,42,18
9828,55,3,1,2,1,3,3,2,5,49,13
9827,184,4,3,4,3,4,4,4,5,5,10
9826,135,2,2,3,1,3,4,4,2,41,50
9825,119,2,5,4,4,4,3,5,4,27,3
9824,100,1,4,5,3,2,4,4,5,45,29
9823,67,3,3,3,2,3,4,1,2,46,16
9822,58,5,4,4,4,4,3,1,5,18,8
9821,36,4,4,4,2,2,4,4,5,4,35
9820,115,4,3,1,3,2,2,3,3,24,8
9819,91,3,5,3,2,2,5,2,3,9,48
9818,143,2,5,2,5,1,1,1,5,2,9
9817,93,2,2,5,5,2,5,5,1,18,41
9816,171,2,3,2,3,2,1,3,4,47,1
9815,11,2,1,3,2,5,1,1,3,14,42
9814,7,3,4,3,2,1,5,1,3,14,7
9813,9,5,5,5,1,5,1,4,2,14,28
9812,166,3,2,4,4,1,5,2,5,15,32
9811,186,2,4,1,4,3,1,5,2,35,13
9810,49,5,4,2,1,3,1,4,2,8,22
9809,117,3,1,1,1,5,1,2,3,10,3
9808,39,1,1,4,1,4,2,1,1,12,49
9807,13,1,5,5,5,4,1,2,1,47,21
9806,163,2,5,5,5,4,4,4,2,12,50
9805,25,2,5,4,5,4,2,4,1,20,6
9804,173,4,3,4,3,5,4,2,1,13,50
9803,67,4,2,5,1,2,5,2,3,37,43
9802,106,3,5,4,4,3,3,5,5,6,26
9801,136,4,4,1,5,5,5,4,5,4,15
9800,128,3,1,1,5,2,2,1,2,20,48
9799,139,4,2,3,4,2,1,1,3,8,8
9798,20,5,3,3,5,1,3,2,4,21,39
9797,112,3,3,2,5,3,4,1,2,34,37
9796,16,5,3,1,3,4,1,1,5,1,23
9795,172,1,2,5,1,3,5,1,2,25,36
9794,121,1,3,2,2,1,5,5,4,35,7
9793,139,4,1,3,2,4,5,4,2,47,6
9792,53,5,3,3,2,3,4,2,4,17,17
9791,123,3,5,5,4,2,2,2,5,32,36
9790,143,2,4,2,2,5,5,5,5,39,8
9789,8,3,5,1,3,5,3,2,2,15,18
9788,158,5,1,3,3,3,4,4,5,45,26
9787,65,1,3,5,1,3,4,1,2,6,11
9786,28,5,1,4,3,1,4,1,4,28,15
9785,153,4,2,5,4,5,4,1,2,20,26
9784,103,3,2,2,3,3,4,4,1,36,24
9783,85,1,1,3,2,4,2,3,2,48,49
9782,144,3,1,3,2,1,2,4,5,19,50
9781,42,1,4,5,4,2,4,4,5,10,37
9780,66,1,2,2,2,3,4,1,1,18,36
9779,80,2,2,1,1,4,4,1,4,8,5
9778,54,3,1,4,1,3,1,1,2,16,10
9777,83,3,4,4,2,3,3,2,2,20,24
9776,11,3,4,4,4,3,5,5,3,44,19
9775,50,3,2,2,4,3,5,2,3,41,33
9774,127,4,2,1,3,4,4,2,2,2,50
9773,141,3,1,1,5,3,3,2,2,18,9
9772,21,1,3,4,4,4,4,5,3,50,44
9771,133,1,2,2,1,5,1,4,2,40,17
9770,74,2,5,3,3,1,2,5,4,8,14
9769,174,3,4,2,1,1,2,4,2,25,21
9768,151,1,5,4,4,1,2,4,2,1,30
9767,142,4,4,1,3,5,4,4,5,2,34
9766,37,1,3,1,1,3,3,1,5,11,19
9765,64,3,1,3,2,4,5,3,3,48,45
9764,106,1,5,2,5,5,2,1,4,50,40
9763,100,5,5,1,2,1,4,2,3,43,35
9762,198,4,5,1,3,1,3,3,2,37,28
9761,189,4,1,4,1,5,3,2,4,42,24
9760,50,2,4,2,1,1,4,3,2,37,7
9759,86,4,2,1,2,5,4,2,4,25,2
9758,54,5,5,2,2,4,4,1,2,36,21
9757,51,2,5,3,4,2,4,1,3,23,32
9756,141,3,4,5,3,5,2,3,5,11,34
9755,24,3,5,5,2,4,4,1,4,20,37
9754,67,4,2,4,4,4,2,4,5,45,3
9753,147,5,4,3,2,2,2,4,5,6,11
9752,39,5,5,3,4,3,4,2,2,36,7
9751,150,1,1,2,4,1,4,4,3,11,3
9750,144,1,1,1,2,1,1,4,4,47,42
9749,73,3,5,3,1,3,5,2,2,21,1
9748,177,3,2,2,5,5,3,1,2,21,50
9747,51,2,1,2,4,2,4,1,2,19,2
9746,160,3,2,3,5,4,5,3,3,9,45
9745,7,4,4,1,5,2,5,2,5,42,27
9744,45,1,5,2,3,4,5,5,3,1,25
9743,162,5,3,1,3,3,3,4,2,13,17
9742,133,4,3,1,5,5,4,3,4,43,19
9741,90,2,3,3,5,2,1,5,2,41,25
9740,58,3,3,1,5,3,2,4,1,1,2
9739,157,3,1,3,5,2,5,2,4,25,10
9738,8,2,1,3,2,5,4,3,4,17,29
9737,105,4,2,1,4,3,5,4,3,38,40
9736,12,5,2,1,3,4,5,2,5,21,18
9735,106,4,3,2,3,5,5,1,5,44,40
9734,89,2,2,2,2,5,2,1,4,30,23
9733,26,5,5,5,5,5,2,2,2,50,42
9732,188,4,4,2,4,4,3,5,3,6,38
9731,55,2,4,2,4,3,3,2,5,6,3
9730,192,5,3,5,4,4,5,5,2,49,7
9729,176,5,2,4,5,4,1,5,1,13,32
9728,123,4,1,1,4,5,1,2,4,10,17
9727,91,4,2,4,2,1,4,4,2,40,42
9726,128,3,5,3,5,2,5,5,4,30,14
9725,13,1,5,5,2,3,2,2,4,46,46
9724,28,4,2,1,4,1,4,3,3,48,31
9723,116,4,1,2,5,1,5,4,5,5,8
9722,80,1,2,3,2,2,1,1,4,9,15
9721,10,2,3,4,4,5,4,1,3,38,18
9720,185,4,5,4,5,4,3,4,1,42,18
9719,13,2,5,5,2,2,4,2,1,46,26
9718,163,3,1,2,3,4,2,3,5,18,39
9717,114,4,3,4,2,1,4,1,3,9,32
9716,155,4,4,4,4,3,1,4,2,38,12
9715,5,3,1,1,3,1,3,5,1,18,2
9714,140,1,3,2,5,4,1,4,5,46,11
9713,177,3,1,3,3,1,5,3,2,11,41
9712,191,3,1,2,4,5,4,3,5,25,35
9711,112,2,1,4,2,3,2,2,5,10,3
9710,179,3,5,4,5,3,5,4,4,6,40
9709,166,5,4,5,4,2,4,4,2,50,32
9708,25,3,3,5,3,3,4,3,1,37,49
9707,39,2,1,2,4,1,5,3,3,36,49
9706,37,4,1,5,5,3,4,1,5,28,39
9705,95,1,4,3,2,5,1,2,1,43,36
9704,67,5,2,3,3,5,5,1,4,22,10
9703,3,5,3,3,3,3,1,3,3,49,48
9702,60,1,5,2,1,4,2,3,4,38,34
9701,36,4,3,2,3,5,1,3,2,48,11
9700,162,2,1,4,3,2,1,3,2,14,28
9699,24,5,1,2,5,4,1,4,1,17,16
9698,18,5,3,1,4,1,4,5,4,50,5
9697,70,5,2,4,5,5,5,5,3,32,10
9696,79,3,4,5,1,4,4,3,3,30,22
9695,166,4,5,3,4,2,3,1,4,28,44
9694,137,5,5,5,1,2,5,1,5,3,47
9693,159,5,2,2,2,2,2,5,2,27,4
9692,111,4,1,4,2,5,1,5,1,35,35
9691,72,5,4,3,2,5,3,2,2,6,37
9690,64,1,2,1,3,2,5,4,4,31,22
9689,120,2,2,5,3,2,5,2,4,27,7
9688,32,4,1,4,4,2,4,3,4,41,44
9687,84,1,2,5,5,3,4,3,5,8,33
9686,111,2,4,3,1,2,2,3,4,35,36
9685,159,4,4,2,4,5,3,5,1,30,9
9684,61,3,4,3,1,2,2,4,2,29,6
9683,144,5,1,1,1,5,1,5,4,2,49
9682,75,4,1,4,1,3,1,2,4,37,47
9681,96,1,3,1,1,5,5,4,2,32,12
9680,199,4,2,4,5,5,3,2,4,40,49
9679,97,5,3,1,4,5,5,4,4,35,23
9678,163,2,5,1,3,5,1,4,5,42,6
9677,136,3,2,4,2,5,4,1,1,6,38
9676,111,3,2,3,2,3,3,3,2,2,4
9675,2,4,4,3,4,2,5,4,1,9,24
9674,53,2,4,4,1,3,4,2,5,21,2
9673,75,3,4,2,5,4,3,2,5,39,24
9672,185,1,5,1,1,2,3,1,3,2,21
9671,30,1,5,3,3,4,1,2,4,35,50
9670,178,4,1,4,2,4,4,2,1,13,6
9669,91,4,5,1,3,3,5,4,2,36,11
9668,78,2,5,1,1,4,3,4,1,24,7
9667,156,4,4,3,3,4,2,4,1,25,39
9666,104,5,4,5,1,2,4,3,1,4,12
9665,131,2,3,1,4,5,5,3,5,10,6
9664,168,3,1,3,3,5,2,5,1,35,24
9663,195,1,5,3,1,3,3,5,4,48,37
9662,158,2,2,3,1,1,5,2,2,7,28
9661,181,2,1,4,5,3,2,5,2,46,35
9660,1,4,2,3,3,4,5,5,2,20,1
9659,200,4,3,1,3,4,2,3,1,7,37
9658,56,5,3,3,1,1,3,4,3,11,50
9657,158,1,5,4,2,3,1,2,4,18,26
9656,4,5,1,3,5,3,4,4,2,2,8
9655,10,3,5,5,4,3,1,2,2,22,19
9654,137,2,1,4,4,4,2,1,1,50,32
9653,12,4,1,1,2,5,3,5,3,13,40
9652,118,4,5,3,2,3,3,2,2,20,19
9651,119,3,2,3,2,1,4,5,2,19,8
9650,57,3,3,4,4,5,1,5,2,39,17
9649,91,5,4,3,3,5,3,1,5,13,44
9648,74,3,4,2,1,4,1,4,5,32,26
9647,71,4,4,5,4,5,3,2,2,20,39
9646,58,1,1,5,1,2,1,4,1,33,46
9645,193,2,1,5,1,1,5,4,1,25,36
9644,12,2,4,4,4,5,2,2,2,46,8
9643,83,1,3,1,4,3,2,1,5,1,33
9642,116,3,1,1,3,2,1,5,4,31,45
9641,109,5,1,2,1,1,5,2,2,15,14
9640,154,1,1,4,1,1,1,2,3,10,5
9639,55,1,3,4,1,3,4,2,1,27,8
9638,9,3,4,4,5,3,5,4,5,43,27
9637,120,4,4,5,5,3,3,5,3,28,38
9636,24,2,2,2,4,2,1,4,1,8,50
9635,89,1,4,2,3,3,1,2,5,29,24
9634,20,3,5,2,3,4,5,1,4,50,37
9633,139,4,3,2,3,5,3,1,1,17,15
9632,121,5,3,3,4,2,2,2,3,42,18
9631,72,4,3,3,1,4,4,1,1,17,39
9630,87,4,1,3,5,1,1,2,5,28,2
9629,149,2,5,1,1,1,2,5,5,15,43
9628,38,3,3,3,5,3,2,1,2,38,11
9627,31,2,3,2,2,4,1,4,3,42,3
9626,22,3,3,1,1,3,4,3,3,44,33
9625,15,1,3,2,2,4,5,2,2,1,24
9624,197,2,3,1,5,4,2,2,3,50,23
9623,49,2,3,3,2,4,3,5,3,16,40
9622,4,1,4,2,5,3,2,5,1,50,13
9621,16,5,4,2,2,2,4,2,3,36,2
9620,57,4,4,1,5,1,1,3,1,46,38
9619,148,3,4,5,1,4,2,2,1,17,39
9618,155,1,4,5,1,3,2,3,5,32,18
9617,45,4,1,4,2,4,2,1,4,44,17
9616,25,4,3,1,2,4,4,2,4,22,48
9615,47,1,4,2,3,4,1,4,4,47,9
9614,110,1,3,3,2,4,3,1,2,42,18
9613,24,1,1,1,3,4,4,2,3,29,15
9612,94,4,1,1,5,2,4,3,2,23,27
9611,58,4,5,3,1,2,4,3,2,9,12
9610,42,3,4,1,1,1,2,2,4,41,44
9609,95,3,3,3,1,1,3,2,3,27,50
9608,87,1,4,1,4,1,2,3,4,18,18
9607,185,1,1,4,5,1,2,2,5,22,38
9606,160,5,5,1,1,1,3,5,5,33,21
9605,166,2,1,4,2,1,3,4,3,10,18
9604,151,1,1,5,1,4,1,4,5,50,18
9603,171,3,4,3,3,1,5,4,5,41,5
9602,132,5,5,5,5,1,5,4,4,4,50
9601,75,4,3,3,4,2,3,4,2,32,23
9600,124,3,2,2,1,1,1,4,3,23,33
9599,168,1,3,2,5,5,1,2,1,34,14
9598,87,2,3,2,3,5,3,5,2,34,25
9597,199,4,3,1,4,5,5,2,1,30,3
9596,12,5,1,4,2,5,4,1,1,15,45
9595,136,2,3,1,5,1,1,1,2,42,3
9594,74,5,3,1,5,3,2,1,2,44,46
9593,103,1,3,1,5,3,2,2,1,50,50
9592,60,5,1,4,5,3,4,1,4,18,48
9591,32,1,2,4,4,2,4,4,1,25,3
9590,145,4,3,3,2,4,3,3,3,26,23
9589,6,2,2,1,5,2,4,3,5,38,41
9588,83,2,3,5,1,5,3,4,2,17,29
9587,77,2,5,3,4,1,3,3,1,24,3
9586,146,4,3,4,1,5,4,5,4,34,33
9585,100,3,3,1,2,3,2,3,4,39,25
9584,6,4,5,5,4,2,5,2,3,29,16
9583,162,5,3,3,5,1,3,4,3,38,3
9582,1,4,4,3,2,1,1,5,1,44,42
9581,149,2,4,2,5,3,4,2,2,27,18
9580,172,4,2,2,2,1,3,4,5,24,8
9579,186,3,1,1,1,4,4,2,4,4,19
9578,162,2,2,1,4,2,1,2,5,24,38
9577,182,1,3,3,1,2,3,1,3,14,30
9576,159,1,1,3,1,1,3,5,3,26,35
9575,14,4,5,2,2,3,5,5,3,18,19
9574,180,2,5,4,4,1,4,2,3,24,24
9573,99,1,2,2,3,1,3,5,4,1,5
9572,77,5,3,1,5,4,1,1,1,17,37
9571,64,2,3,5,4,1,3,1,1,22,44
9570,67,3,2,4,3,4,4,5,2,26,2
9569,141,2,5,3,4,1,4,3,4,36,50
9568,102,4,1,5,5,5,5,5,5,37,28
9567,8,1,3,2,4,2,2,4,5,34,44
9566,177,2,5,3,1,3,5,4,3,45,31
9565,56,1,1,5,2,1,4,1,3,48,24
9564,134,2,1,5,1,4,2,3,1,20,50
9563,175,3,1,3,5,5,2,5,4,47,49
9562,143,4,4,5,3,3,5,2,5,35,45
9561,57,4,5,2,4,1,4,1,3,7,8
9560,137,5,4,4,3,1,5,2,1,31,48
9559,28,5,3,4,1,4,1,1,3,2,27
9558,162,3,4,4,5,1,2,3,3,28,34
9557,128,5,3,5,5,3,2,5,5,25,15
9556,21,1,5,1,5,1,4,5,1,1,48
9555,55,1,1,5,2,2,4,2,5,36,30
9554,179,1,2,3,4,2,4,1,1,20,30
9553,73,1,2,2,5,3,2,2,5,25,34
9552,21,2,5,2,5,3,5,4,2,12,31
9551,96,3,4,3,4,2,2,2,4,6,15
9550,108,4,3,3,2,3,4,3,2,9,23
9549,171,5,1,3,3,3,5,2,4,49,49
9548,166,5,4,3,3,4,2,2,2,3,17
9547,62,3,1,2,4,5,4,3,5,2,22
9546,147,5,1,5,1,2,3,4,5,47,4
9545,184,3,1,2,4,4,1,1,4,14,41
9544,189,4,5,5,1,3,2,1,3,1,45
9543,95,4,3,4,5,3,1,1,5,45,20
9542,192,4,1,5,1,4,4,4,5,44,15
9541,85,3,4,1,2,2,1,2,2,29,39
9540,159,4,5,1,5,3,4,2,2,8,48
9539,173,2,3,4,2,2,2,3,2,3,29
9538,38,4,4,5,1,2,2,3,4,27,42
9537,196,4,1,3,1,3,3,3,2,50,7
9536,120,2,5,3,5,2,4,3,4,2,30
9535,41,4,2,1,4,1,5,5,2,48,15
9534,79,2,5,3,2,5,5,5,2,27,20
9533,63,1,5,3,3,4,5,1,1,2,22
9532,108,1,1,1,1,3,4,5,2,4,38
9531,42,2,3,2,4,3,5,3,1,6,21
9530,114,3,4,2,2,3,4,3,1,8,4
9529,169,3,4,1,4,5,5,3,2,7,12
9528,53,5,4,1,3,1,2,3,3,43,28
9527,14,1,5,5,1,1,3,2,3,4,49
9526,141,4,2,1,4,2,5,4,4,16,9
9525,107,5,2,5,5,1,1,3,4,40,48
9524,75,5,4,4,3,5,5,3,2,15,20
9523,151,2,2,5,1,3,5,3,1,26,42
9522,2,2,3,2,1,2,4,2,3,35,8
9521,87,2,1,2,3,3,1,4,3,36,46
9520,61,5,3,3,2,1,2,2,5,43,21
9519,194,1,1,4,1,4,3,1,4,23,12
9518,32,4,2,2,5,1,2,4,5,42,28
9517,138,3,5,4,2,2,4,3,1,49,24
9516,105,5,3,2,1,5,2,5,5,36,13
9515,77,1,1,4,5,2,4,3,3,3,31
9514,7,5,4,5,3,1,5,5,3,14,6
9513,149,2,1,2,2,3,5,2,1,13,16
9512,139,5,3,5,5,4,3,5,4,28,40
9511,133,3,5,5,4,4,4,2,2,17,24
9510,179,5,5,1,1,4,3,4,2,6,27
9509,161,2,5,3,1,3,5,2,3,7,11
9508,124,3,4,4,4,4,1,2,2,13,39
9507,146,5,1,4,4,1,1,2,3,3,47
9506,45,1,4,3,4,2,4,5,2,33,46
9505,107,3,1,1,2,1,2,2,3,13,19
9504,73,5,3,1,5,1,3,1,1,28,47
9503,16,3,3,4,2,4,5,5,2,3,42
9502,102,1,4,2,4,1,1,3,4,32,5
9501,30,3,1,3,1,5,1,1,2,28,26
9500,139,1,2,2,2,1,5,3,3,30,27
9499,81,2,2,5,1,4,4,4,2,13,9
9498,83,2,2,2,4,4,3,4,2,8,7
9497,93,1,1,5,3,4,4,4,5,49,8
9496,149,5,4,2,1,2,5,4,3,42,34
9495,37,3,4,3,3,3,4,4,1,17,49
9494,46,2,2,2,4,5,5,1,5,50,41
9493,18,3,2,3,4,5,4,2,3,22,48
9492,113,4,1,1,3,5,2,1,4,4,18
9491,7,5,3,3,4,3,4,5,2,23,42
9490,168,5,3,5,2,5,3,3,2,21,45
9489,150,3,3,1,1,1,1,5,1,32,15
9488,52,5,2,5,4,2,5,2,2,41,27
9487,183,5,1,2,2,2,1,2,4,28,11
9486,168,5,1,3,2,5,2,4,4,2,29
9485,1,3,4,1,5,1,3,2,1,2,14
9484,131,3,3,2,2,3,1,4,4,40,42
9483,144,4,5,2,3,1,3,2,1,43,36
9482,84,3,3,4,4,3,2,1,3,19,47
9481,118,5,2,1,2,3,4,4,4,35,48
9480,33,3,3,1,3,5,4,3,2,34,50
9479,104,5,3,3,3,5,5,1,3,41,49
9478,85,3,5,2,5,4,3,5,4,20,31
9477,87,1,4,1,5,5,1,2,5,41,35
9476,8,3,5,4,2,4,2,5,4,37,44
9475,192,1,2,4,2,5,1,5,4,9,2
9474,186,1,1,3,3,1,5,3,1,39,19
9473,59,1,5,3,5,1,4,2,4,19,47
9472,155,3,1,2,5,3,2,5,4,28,31
9471,114,5,5,3,1,4,4,5,4,27,37
9470,99,1,5,3,3,4,1,4,4,2,47
9469,137,1,4,1,4,4,3,2,5,13,8
9468,171,5,1,4,4,1,4,3,3,18,46
9467,109,2,2,1,5,4,2,3,5,48,44
9466,153,2,5,4,2,5,1,4,5,46,35
9465,20,4,2,3,4,4,3,3,1,34,15
9464,170,4,5,3,4,2,4,5,3,7,8
9463,105,2,2,4,4,2,1,3,4,6,5
9462,175,5,1,5,4,1,3,5,3,42,34
9461,0,1,3,3,3,5,4,2,2,18,8
9460,56,1,1,5,5,2,4,4,1,48,35
9459,192,1,5,1,4,5,5,1,2,13,47
9458,92,1,1,4,5,2,2,4,4,47,49
9457,96,5,2,4,5,5,5,3,4,32,33
9456,70,1,5,1,3,3,3,2,2,49,14
9455,55,2,2,5,1,2,2,3,3,8,45
9454,31,2,5,2,2,5,1,2,4,17,18
9453,131,5,2,3,2,5,3,1,5,4,34
9452,92,3,3,1,2,3,3,2,4,27,25
9451,96,1,2,4,3,1,5,2,3,9,43
9450,190,3,3,3,4,1,5,4,2,5,37
